ws-2,ws-1,ws,ws+1,wd-2,wd-1,wd,wd+1,hour_from_06,week,month,production
5.4,4.96,4.82,4.88,127.64,128.33,131.25,135.1,3,27,7,0.128
4.96,4.82,4.88,4.99,128.33,131.25,135.1,138.04,2,27,7,0.178
4.82,4.88,4.99,4.93,131.25,135.1,138.04,138.65,1,27,7,0.267
4.88,4.99,4.93,4.58,135.1,138.04,138.65,135.87,0,27,7,0.227
4.99,4.93,4.58,4.2,138.04,138.65,135.87,130.57,1,27,7,0.208
4.93,4.58,4.2,4.07,138.65,135.87,130.57,125.54,2,27,7,0.178
4.58,4.2,4.07,4.34,135.87,130.57,125.54,124.3,3,27,7,0.158
4.2,4.07,4.34,4.86,130.57,125.54,124.3,126.2,4,27,7,0.168
4.07,4.34,4.86,5.4,125.54,124.3,126.2,129.39,5,27,7,0.138
4.34,4.86,5.4,6.25,124.3,126.2,129.39,136.17,6,27,7,0.099
4.86,5.4,6.25,6.59,126.2,129.39,136.17,135.81,7,27,7,0.148
5.4,6.25,6.59,6.55,129.39,136.17,135.81,135.34,8,27,7,0.168
6.25,6.59,6.55,6.26,136.17,135.81,135.34,134.66,9,27,7,0.267
6.59,6.55,6.26,5.93,135.81,135.34,134.66,133.35,10,27,7,0.336
6.55,6.26,5.93,5.81,135.34,134.66,133.35,130.99,11,27,7,0.237
6.26,5.93,5.81,6.02,134.66,133.35,130.99,127.89,12,27,7,0.099
5.93,5.81,6.02,6.32,133.35,130.99,127.89,125.7,11,27,7,0.128
5.81,6.02,6.32,6.33,130.99,127.89,125.7,125.67,10,27,7,0.188
6.02,6.32,6.33,5.8,127.89,125.7,125.67,128.65,9,27,7,0.188
6.32,6.33,5.8,4.96,125.7,125.67,128.65,133.83,8,27,7,0.049
6.33,5.8,4.96,4.13,125.67,128.65,133.83,138.72,7,27,7,0.049
5.8,4.96,4.13,4.4,128.65,133.83,138.72,135.8,6,27,7,0.148
4.96,4.13,4.4,3.94,133.83,138.72,135.8,135.97,5,27,7,0.079
4.13,4.4,3.94,3.63,138.72,135.8,135.97,137.14,4,27,7,0.089
4.4,3.94,3.63,3.44,135.8,135.97,137.14,138.97,3,27,7,0.168
3.94,3.63,3.44,3.3,135.97,137.14,138.97,140.78,2,27,7,0.148
3.63,3.44,3.3,3.11,137.14,138.97,140.78,141.89,1,27,7,0.04
3.44,3.3,3.11,2.83,138.97,140.78,141.89,141.71,0,27,7,0.059
3.3,3.11,2.83,2.59,140.78,141.89,141.71,140.22,1,27,7,0.326
3.11,2.83,2.59,2.59,141.89,141.71,140.22,138.02,2,27,7,0.346
2.83,2.59,2.59,2.92,141.71,140.22,138.02,136.45,3,27,7,0.455
2.59,2.59,2.92,3.41,140.22,138.02,136.45,136.1,4,27,7,0.257
2.59,2.92,3.41,3.79,138.02,136.45,136.1,136.86,5,27,7,0.247
2.92,3.41,3.79,3.94,136.45,136.1,136.86,152.34,6,27,7,0.049
3.41,3.79,3.94,3.98,136.1,136.86,152.34,153.07,7,27,7,0
3.79,3.94,3.98,3.86,136.86,152.34,153.07,150.65,8,27,7,0
3.94,3.98,3.86,3.65,152.34,153.07,150.65,145.97,9,27,7,0.01
3.98,3.86,3.65,3.47,153.07,150.65,145.97,140.52,10,27,7,0.03
3.86,3.65,3.47,3.42,150.65,145.97,140.52,136.88,11,27,7,0.059
3.65,3.47,3.42,3.51,145.97,140.52,136.88,137.09,12,27,7,0.089
3.47,3.42,3.51,3.42,140.52,136.88,137.09,139.27,11,27,7,0.109
3.42,3.51,3.42,2.77,136.88,137.09,139.27,141.46,10,27,7,0.119
3.51,3.42,2.77,1.31,137.09,139.27,141.46,142.54,9,27,7,0.099
3.42,2.77,1.31,0.48,139.27,141.46,142.54,321.76,8,27,7,0.089
2.77,1.31,0.48,1.99,141.46,142.54,321.76,321.19,7,27,7,0.069
1.31,0.48,1.99,1.45,142.54,321.76,321.19,345.45,6,27,7,0.079
0.48,1.99,1.45,1.94,321.76,321.19,345.45,350.16,5,27,7,0.059
1.99,1.45,1.94,2.18,321.19,345.45,350.16,359.73,4,27,7,0.059
1.45,1.94,2.18,2.28,345.45,350.16,359.73,12.71,3,27,7,0.069
1.94,2.18,2.28,2.35,350.16,359.73,12.71,27.4,2,27,7,0.049
2.18,2.28,2.35,2.38,359.73,12.71,27.4,42.01,1,27,7,0
2.28,2.35,2.38,2.36,12.71,27.4,42.01,55.76,0,27,7,0
2.35,2.38,2.36,2.32,27.4,42.01,55.76,68.2,1,27,7,0
2.38,2.36,2.32,2.33,42.01,55.76,68.2,77.18,2,27,7,0
2.36,2.32,2.33,2.37,55.76,68.2,77.18,80.78,3,27,7,0
2.32,2.33,2.37,2.37,68.2,77.18,80.78,81.25,4,27,7,0
2.33,2.37,2.37,2.31,77.18,80.78,81.25,81.79,5,27,7,0
2.37,2.37,2.31,2.35,80.78,81.25,81.79,78.85,6,27,7,0
2.37,2.31,2.35,2.16,81.25,81.79,78.85,87.55,7,27,7,0
2.31,2.35,2.16,1.99,81.79,78.85,87.55,93.38,8,27,7,0
2.35,2.16,1.99,1.82,78.85,87.55,93.38,95.82,9,27,7,0
2.16,1.99,1.82,1.66,87.55,93.38,95.82,93.93,10,27,7,0.02
1.99,1.82,1.66,1.58,93.38,95.82,93.93,86.81,11,27,7,0.069
1.82,1.66,1.58,1.64,95.82,93.93,86.81,75.46,12,27,7,0.099
1.66,1.58,1.64,1.88,93.93,86.81,75.46,63.76,11,27,7,0.138
1.58,1.64,1.88,2.29,86.81,75.46,63.76,54.78,10,27,7,0.168
1.64,1.88,2.29,2.75,75.46,63.76,54.78,49.46,9,27,7,0.168
1.88,2.29,2.75,2.93,63.76,54.78,49.46,48.86,8,27,7,0.128
2.29,2.75,2.93,2.45,54.78,49.46,48.86,56.16,7,27,7,0.119
2.75,2.93,2.45,0.8,49.46,48.86,56.16,149.07,6,28,7,0.119
2.93,2.45,0.8,1.76,48.86,56.16,149.07,192.98,5,28,7,0.158
2.45,0.8,1.76,1.9,56.16,149.07,192.98,195.99,4,28,7,0.168
0.8,1.76,1.9,1.33,149.07,192.98,195.99,187.04,3,28,7,0.119
1.76,1.9,1.33,0.79,192.98,195.99,187.04,144.31,2,28,7,0.128
1.9,1.33,0.79,1.16,195.99,187.04,144.31,102.62,1,28,7,0.257
1.33,0.79,1.16,1.7,187.04,144.31,102.62,105.6,0,28,7,0.079
0.79,1.16,1.7,2.17,144.31,102.62,105.6,116.26,1,28,7,0.03
1.16,1.7,2.17,2.41,102.62,105.6,116.26,122.82,2,28,7,0.03
1.7,2.17,2.41,2.24,105.6,116.26,122.82,121.47,3,28,7,0.049
2.17,2.41,2.24,1.95,116.26,122.82,121.47,111.18,4,28,7,0.119
2.41,2.24,1.95,2.04,122.82,121.47,111.18,95.63,5,28,7,0.069
2.24,1.95,2.04,4.09,121.47,111.18,95.63,113.03,6,28,7,0.128
1.95,2.04,4.09,4.5,111.18,95.63,113.03,112.96,7,28,7,0.049
2.04,4.09,4.5,5,95.63,113.03,112.96,113.37,8,28,7,0.069
4.09,4.5,5,5.53,113.03,112.96,113.37,113.86,9,28,7,0.326
4.5,5,5.53,6,112.96,113.37,113.86,114.19,10,28,7,0.405
5,5.53,6,6.36,113.37,113.86,114.19,114.21,11,28,7,0.366
5.53,6,6.36,6.52,113.86,114.19,114.21,113.77,12,28,7,0.316
6,6.36,6.52,6.4,114.19,114.21,113.77,112.52,11,28,7,0.247
6.36,6.52,6.4,5.9,114.21,113.77,112.52,109.78,10,28,7,0.217
6.52,6.4,5.9,5,113.77,112.52,109.78,104.91,9,28,7,0.277
6.4,5.9,5,3.94,112.52,109.78,104.91,101.22,8,28,7,0.128
5.9,5,3.94,2.96,109.78,104.91,101.22,109.4,7,28,7,0.059
5,3.94,2.96,3.34,104.91,101.22,109.4,134.94,6,28,7,0.03
3.94,2.96,3.34,3.51,101.22,109.4,134.94,162.37,5,28,7,0
2.96,3.34,3.51,3.63,109.4,134.94,162.37,177.26,4,28,7,0.02
3.34,3.51,3.63,3.42,134.94,162.37,177.26,185.74,3,28,7,0.336
3.51,3.63,3.42,2.94,162.37,177.26,185.74,190.01,2,28,7,0.395
3.63,3.42,2.94,2.37,177.26,185.74,190.01,188.8,1,28,7,0.237
3.42,2.94,2.37,1.92,185.74,190.01,188.8,177.93,0,28,7,0.069
2.94,2.37,1.92,1.9,190.01,188.8,177.93,158.46,1,28,7,0
2.37,1.92,1.9,2.42,188.8,177.93,158.46,144.17,2,28,7,0.02
1.92,1.9,2.42,3.34,177.93,158.46,144.17,140.01,3,28,7,0.158
1.9,2.42,3.34,4.32,158.46,144.17,140.01,139.63,4,28,7,0.099
2.42,3.34,4.32,5.1,144.17,140.01,139.63,139.33,5,28,7,0.089
3.34,4.32,5.1,5.75,140.01,139.63,139.33,130.23,6,28,7,0.099
4.32,5.1,5.75,6.28,139.63,139.33,130.23,128.32,7,28,7,0.198
5.1,5.75,6.28,6.75,139.33,130.23,128.32,127.51,8,28,7,0.346
5.75,6.28,6.75,7.12,130.23,128.32,127.51,127.7,9,28,7,0.296
6.28,6.75,7.12,7.33,128.32,127.51,127.7,129.09,10,28,7,0.356
6.75,7.12,7.33,7.34,127.51,127.7,129.09,132.06,11,28,7,0.326
7.12,7.33,7.34,7.16,127.7,129.09,132.06,137.02,12,28,7,0.425
7.33,7.34,7.16,6.79,129.09,132.06,137.02,143.76,11,28,7,0.543
7.34,7.16,6.79,6.25,132.06,137.02,143.76,152.13,10,28,7,0.504
7.16,6.79,6.25,5.54,137.02,143.76,152.13,162.42,9,28,7,0.306
6.79,6.25,5.54,4.84,143.76,152.13,162.42,175.14,8,28,7,0.208
6.25,5.54,4.84,4.29,152.13,162.42,175.14,189.75,7,28,7,0.188
5.54,4.84,4.29,3.59,162.42,175.14,189.75,158.24,6,28,7,0.089
4.84,4.29,3.59,3.2,175.14,189.75,158.24,157.35,5,28,7,0.04
4.29,3.59,3.2,2.8,189.75,158.24,157.35,164.5,4,28,7,0.03
3.59,3.2,2.8,2.56,158.24,157.35,164.5,178.7,3,28,7,0.01
3.2,2.8,2.56,2.58,157.35,164.5,178.7,193.49,2,28,7,0
2.8,2.56,2.58,2.7,164.5,178.7,193.49,201.08,1,28,7,0
2.56,2.58,2.7,2.73,178.7,193.49,201.08,198.81,0,28,7,0
2.58,2.7,2.73,2.72,193.49,201.08,198.81,190.18,1,28,7,0.04
2.7,2.73,2.72,2.77,201.08,198.81,190.18,180.16,2,28,7,0.079
2.73,2.72,2.77,2.88,198.81,190.18,180.16,173.14,3,28,7,0.049
2.72,2.77,2.88,3.01,190.18,180.16,173.14,169.38,4,28,7,0.04
2.77,2.88,3.01,3.14,180.16,173.14,169.38,168.17,5,28,7,0.089
2.88,3.01,3.14,3.44,173.14,169.38,168.17,154.24,6,28,7,0.079
3.01,3.14,3.44,3.59,169.38,168.17,154.24,151.79,7,28,7,0.01
3.14,3.44,3.59,3.66,168.17,154.24,151.79,156.13,8,28,7,0
3.44,3.59,3.66,3.72,154.24,151.79,156.13,164.88,9,28,7,0
3.59,3.66,3.72,3.84,151.79,156.13,164.88,175.15,10,28,7,0
3.66,3.72,3.84,3.97,156.13,164.88,175.15,184.18,11,28,7,0
3.72,3.84,3.97,4.02,164.88,175.15,184.18,190.67,12,28,7,0.02
3.84,3.97,4.02,4.02,175.15,184.18,190.67,195.48,11,28,7,0.04
3.97,4.02,4.02,4.06,184.18,190.67,195.48,199.35,10,28,7,0.059
4.02,4.02,4.06,4.21,190.67,195.48,199.35,202.5,9,28,7,0.03
4.02,4.06,4.21,4.29,195.48,199.35,202.5,204.82,8,28,7,0.02
4.06,4.21,4.29,4.1,199.35,202.5,204.82,206.54,7,28,7,0.02
4.21,4.29,4.1,2.13,202.5,204.82,206.54,237.98,6,28,7,0
4.29,4.1,2.13,2.15,204.82,206.54,237.98,240.84,5,28,7,0
4.1,2.13,2.15,2.16,206.54,237.98,240.84,239.06,4,28,7,0
2.13,2.15,2.16,2.18,237.98,240.84,239.06,234.34,3,28,7,0
2.15,2.16,2.18,2.22,240.84,239.06,234.34,228.93,2,28,7,0
2.16,2.18,2.22,2.25,239.06,234.34,228.93,225.04,1,28,7,0
2.18,2.22,2.25,2.25,234.34,228.93,225.04,224,0,28,7,0
2.22,2.25,2.25,2.24,228.93,225.04,224,224.67,1,28,7,0
2.25,2.25,2.24,2.27,225.04,224,224.67,225.33,2,28,7,0
2.25,2.24,2.27,2.35,224,224.67,225.33,225.09,3,28,7,0.01
2.24,2.27,2.35,2.42,224.67,225.33,225.09,226.38,4,28,7,0.01
2.27,2.35,2.42,2.38,225.33,225.09,226.38,232.47,5,28,7,0.01
2.35,2.42,2.38,1.43,225.09,226.38,232.47,226.62,6,28,7,0.01
2.42,2.38,1.43,1.48,226.38,232.47,226.62,246.1,7,28,7,0
2.38,1.43,1.48,2.03,232.47,226.62,246.1,267.31,8,28,7,0.01
1.43,1.48,2.03,2.92,226.62,246.1,267.31,279.05,9,28,7,0.02
1.48,2.03,2.92,3.76,246.1,267.31,279.05,284.74,10,28,7,0.04
2.03,2.92,3.76,4.21,267.31,279.05,284.74,287.81,11,28,7,0.079
2.92,3.76,4.21,4.05,279.05,284.74,287.81,289.85,12,28,7,0.119
3.76,4.21,4.05,3.56,284.74,287.81,289.85,291.31,11,28,7,0.148
4.21,4.05,3.56,3.15,287.81,289.85,291.31,291.58,10,28,7,0.168
4.05,3.56,3.15,3.12,289.85,291.31,291.58,289.88,9,28,7,0.188
3.56,3.15,3.12,3.33,291.31,291.58,289.88,287.43,8,28,7,0.188
3.15,3.12,3.33,3.53,291.58,289.88,287.43,285.52,7,28,7,0.168
3.12,3.33,3.53,2.93,289.88,287.43,285.52,292.34,6,28,7,0.158
3.33,3.53,2.93,3,287.43,285.52,292.34,291.73,5,28,7,0.188
3.53,2.93,3,3.11,285.52,292.34,291.73,290.76,4,28,7,0.227
2.93,3,3.11,3.22,292.34,291.73,290.76,289.53,3,28,7,0.188
3,3.11,3.22,3.26,291.73,290.76,289.53,287.74,2,28,7,0.128
3.11,3.22,3.26,3.16,290.76,289.53,287.74,284.79,1,28,7,0.119
3.22,3.26,3.16,2.88,289.53,287.74,284.79,280.03,0,28,7,0.128
3.26,3.16,2.88,2.58,287.74,284.79,280.03,275.01,1,28,7,0.138
3.16,2.88,2.58,2.4,284.79,280.03,275.01,273.76,2,28,7,0.128
2.88,2.58,2.4,2.44,280.03,275.01,273.76,280,3,28,7,0.079
2.58,2.4,2.44,2.63,275.01,273.76,280,290.69,4,28,7,0.119
2.4,2.44,2.63,2.84,273.76,280,290.69,302.51,5,28,7,0.099
2.44,2.63,2.84,2.63,280,290.69,302.51,331.53,6,28,7,0.04
2.63,2.84,2.63,2.92,290.69,302.51,331.53,349.67,7,28,7,0.01
2.84,2.63,2.92,3.33,302.51,331.53,349.67,359.93,8,28,7,0.04
2.63,2.92,3.33,3.68,331.53,349.67,359.93,5.17,9,28,7,0.04
2.92,3.33,3.68,3.87,349.67,359.93,5.17,8.32,10,28,7,0.03
3.33,3.68,3.87,3.84,359.93,5.17,8.32,11.64,11,28,7,0.04
3.68,3.87,3.84,3.59,5.17,8.32,11.64,16.19,12,28,7,0.04
3.87,3.84,3.59,3.22,8.32,11.64,16.19,18.26,11,28,7,0.03
3.84,3.59,3.22,2.83,11.64,16.19,18.26,10.09,10,28,7,0.03
3.59,3.22,2.83,2.88,16.19,18.26,10.09,346.58,9,28,7,0.01
3.22,2.83,2.88,3.57,18.26,10.09,346.58,326.57,8,28,7,0.02
2.83,2.88,3.57,4.17,10.09,346.58,326.57,319.27,7,28,7,0.049
2.88,3.57,4.17,3.87,346.58,326.57,319.27,305.82,6,28,7,0.128
3.57,4.17,3.87,3.83,326.57,319.27,305.82,320.09,5,28,7,0.217
4.17,3.87,3.83,3.75,319.27,305.82,320.09,342.68,4,28,7,0.247
3.87,3.83,3.75,4.18,305.82,320.09,342.68,8.19,3,28,7,0.257
3.83,3.75,4.18,5.03,320.09,342.68,8.19,27.03,2,28,7,0.366
3.75,4.18,5.03,5.7,342.68,8.19,27.03,38.42,1,28,7,0.464
4.18,5.03,5.7,5.74,8.19,27.03,38.42,45.21,0,28,7,0.791
5.03,5.7,5.74,5.4,27.03,38.42,45.21,48.97,1,28,7,0.711
5.7,5.74,5.4,5.15,38.42,45.21,48.97,48.59,2,28,7,0.484
5.74,5.4,5.15,5.33,45.21,48.97,48.59,43.99,3,28,7,0.415
5.4,5.15,5.33,5.58,48.97,48.59,43.99,41.3,4,28,7,0.346
5.15,5.33,5.58,5.28,48.59,43.99,41.3,46.72,5,28,7,0.395
5.33,5.58,5.28,4.23,43.99,41.3,46.72,78.78,6,28,7,0.395
5.58,5.28,4.23,4.4,41.3,46.72,78.78,86.32,7,28,7,0.178
5.28,4.23,4.4,4.79,46.72,78.78,86.32,93.52,8,28,7,0.099
4.23,4.4,4.79,5.33,78.78,86.32,93.52,99.13,9,28,7,0
4.4,4.79,5.33,5.89,86.32,93.52,99.13,101.94,10,28,7,0.089
4.79,5.33,5.89,6.33,93.52,99.13,101.94,101.25,11,28,7,0.543
5.33,5.89,6.33,6.59,99.13,101.94,101.25,97.28,12,28,7,0.455
5.89,6.33,6.59,6.78,101.94,101.25,97.28,93.77,11,28,7,0.613
6.33,6.59,6.78,6.94,101.25,97.28,93.77,95.05,10,28,7,0.346
6.59,6.78,6.94,7.14,97.28,93.77,95.05,103.6,9,28,7,0.464
6.78,6.94,7.14,7.27,93.77,95.05,103.6,116.13,8,28,7,0.494
6.94,7.14,7.27,6.97,95.05,103.6,116.13,130.59,7,28,7,0.514
7.14,7.27,6.97,5.12,103.6,116.13,130.59,144.95,6,28,7,0.445
7.27,6.97,5.12,4.76,116.13,130.59,144.95,171.31,5,28,7,0.445
6.97,5.12,4.76,4.74,130.59,144.95,171.31,188.13,4,28,7,0.583
5.12,4.76,4.74,4.52,144.95,171.31,188.13,198.26,3,28,7,0.623
4.76,4.74,4.52,4.08,171.31,188.13,198.26,205.47,2,28,7,0.553
4.74,4.52,4.08,3.63,188.13,198.26,205.47,212.29,1,28,7,0.168
4.52,4.08,3.63,3.37,198.26,205.47,212.29,219.85,0,28,7,0.059
4.08,3.63,3.37,3.15,205.47,212.29,219.85,227.79,1,28,7,0.03
3.63,3.37,3.15,2.75,212.29,219.85,227.79,237.51,2,28,7,0
3.37,3.15,2.75,2.09,219.85,227.79,237.51,254.62,3,28,7,0.049
3.15,2.75,2.09,1.59,227.79,237.51,254.62,287.95,4,28,7,0.099
2.75,2.09,1.59,1.72,237.51,254.62,287.95,326.64,5,28,7,0.049
2.09,1.59,1.72,2.36,254.62,287.95,326.64,345.57,6,28,7,0.02
1.59,1.72,2.36,2.52,287.95,326.64,345.57,0.3,7,28,7,0
1.72,2.36,2.52,2.44,326.64,345.57,0.3,23.48,8,28,7,0
2.36,2.52,2.44,2.67,345.57,0.3,23.48,52.68,9,28,7,0.01
2.52,2.44,2.67,3.37,0.3,23.48,52.68,74.71,10,28,7,0.02
2.44,2.67,3.37,4.16,23.48,52.68,74.71,85.78,11,28,7,0.02
2.67,3.37,4.16,4.65,52.68,74.71,85.78,89.6,12,28,7,0.059
3.37,4.16,4.65,4.78,74.71,85.78,89.6,91.42,11,28,7,0.069
4.16,4.65,4.78,4.64,85.78,89.6,91.42,95.21,10,28,7,0.04
4.65,4.78,4.64,4.4,89.6,91.42,95.21,104.1,9,28,7,0.04
4.78,4.64,4.4,4.22,91.42,95.21,104.1,117.69,8,28,7,0.01
4.64,4.4,4.22,4.17,95.21,104.1,117.69,133.76,7,28,7,0.128
4.4,4.22,4.17,4.36,104.1,117.69,133.76,132.21,6,29,7,0.198
4.22,4.17,4.36,4.83,117.69,133.76,132.21,139.35,5,29,7,0.198
4.17,4.36,4.83,4.74,133.76,132.21,139.35,145.7,4,29,7,0.198
4.36,4.83,4.74,4.27,132.21,139.35,145.7,152.61,3,29,7,0.119
4.83,4.74,4.27,3.67,139.35,145.7,152.61,159.74,2,29,7,0.119
4.74,4.27,3.67,3.13,145.7,152.61,159.74,164.43,1,29,7,0.435
4.27,3.67,3.13,2.75,152.61,159.74,164.43,162.2,0,29,7,0.484
3.67,3.13,2.75,2.57,159.74,164.43,162.2,153.96,1,29,7,0.287
3.13,2.75,2.57,2.56,164.43,162.2,153.96,144.97,2,29,7,0.198
2.75,2.57,2.56,2.6,162.2,153.96,144.97,139.88,3,29,7,0.148
2.57,2.56,2.6,2.62,153.96,144.97,139.88,138.41,4,29,7,0.069
2.56,2.6,2.62,2.58,144.97,139.88,138.41,139.32,5,29,7,0.059
2.6,2.62,2.58,2.05,139.88,138.41,139.32,136.99,6,29,7,0.01
2.62,2.58,2.05,2.12,138.41,139.32,136.99,126.57,7,29,7,0
2.58,2.05,2.12,2.54,139.32,136.99,126.57,118.1,8,29,7,0
2.05,2.12,2.54,3.15,136.99,126.57,118.1,113.82,9,29,7,0
2.12,2.54,3.15,3.74,126.57,118.1,113.82,113.59,10,29,7,0.02
2.54,3.15,3.74,4.12,118.1,113.82,113.59,117.22,11,29,7,0.079
3.15,3.74,4.12,4.21,113.82,113.59,117.22,124.8,12,29,7,0.128
3.74,4.12,4.21,4.01,113.59,117.22,124.8,133.9,11,29,7,0.208
4.12,4.21,4.01,3.4,117.22,124.8,133.9,142.02,10,29,7,0.227
4.21,4.01,3.4,2.27,124.8,133.9,142.02,147.69,9,29,7,0.148
4.01,3.4,2.27,1.05,133.9,142.02,147.69,155.08,8,29,7,0.138
3.4,2.27,1.05,0.36,142.02,147.69,155.08,187.5,7,29,7,0.109
2.27,1.05,0.36,1.76,147.69,155.08,187.5,169.02,6,29,7,0.04
1.05,0.36,1.76,2.56,155.08,187.5,169.02,167.43,5,29,7,0.03
0.36,1.76,2.56,3.12,187.5,169.02,167.43,160.78,4,29,7,0.079
1.76,2.56,3.12,3.55,169.02,167.43,160.78,152.77,3,29,7,0.109
2.56,3.12,3.55,3.85,167.43,160.78,152.77,145.66,2,29,7,0.198
3.12,3.55,3.85,3.97,160.78,152.77,145.66,141.11,1,29,7,0.504
3.55,3.85,3.97,3.85,152.77,145.66,141.11,140.25,0,29,7,0.573
3.85,3.97,3.85,3.6,145.66,141.11,140.25,143,1,29,7,0.366
3.97,3.85,3.6,3.41,141.11,140.25,143,149.13,2,29,7,0.227
3.85,3.6,3.41,3.41,140.25,143,149.13,156.98,3,29,7,0.109
3.6,3.41,3.41,3.54,143,149.13,156.98,162.91,4,29,7,0.128
3.41,3.41,3.54,3.57,149.13,156.98,162.91,164.37,5,29,7,0.227
3.41,3.54,3.57,3.16,156.98,162.91,164.37,169.33,6,29,7,0.079
3.54,3.57,3.16,2.71,162.91,164.37,169.33,169.88,7,29,7,0.04
3.57,3.16,2.71,2.24,164.37,169.33,169.88,164.87,8,29,7,0
3.16,2.71,2.24,1.82,169.33,169.88,164.87,153.01,9,29,7,0
2.71,2.24,1.82,1.56,169.88,164.87,153.01,134.74,10,29,7,0.01
2.24,1.82,1.56,1.5,164.87,153.01,134.74,116.42,11,29,7,0.01
1.82,1.56,1.5,1.5,153.01,134.74,116.42,104.14,12,29,7,0.049
1.56,1.5,1.5,1.37,134.74,116.42,104.14,93.7,11,29,7,0.099
1.5,1.5,1.37,1.05,116.42,104.14,93.7,73.31,10,29,7,0.128
1.5,1.37,1.05,0.97,104.14,93.7,73.31,23.1,9,29,7,0.208
1.37,1.05,0.97,1.59,93.7,73.31,23.1,348.78,8,29,7,0.119
1.05,0.97,1.59,2.27,73.31,23.1,348.78,339.69,7,29,7,0.138
0.97,1.59,2.27,2.14,23.1,348.78,339.69,12.57,6,29,7,0.099
1.59,2.27,2.14,2.45,348.78,339.69,12.57,13.41,5,29,7,0.059
